"seller id","warehouse id","po_type","store order id","order release id","order line id","seller order id","order id fk","created on","style id","seller sku code","sku id","myntra sku code","size","vendor article number","brand","style name","article type","order status","packet id","seller packe id","courier code","order tracking number","seller warehouse id","cancellation reason id fk","cancellation reason","packed on","fmpu date","inscanned on","shipped on","delivered on","cancelled on","rto creation date","lost date","return creation date","final amount","total mrp","discount","coupon discount","shipping charge","gift charge","tax recovery","city","state","zipcode","seller price"
"36387","58640","PPMP","'130714776690434143903","8618540425","10618465718","06858e8c-94aa-4d69-aad2-d47786326c70","5564779753","2025-08-15 20:19:56.000","36084938","RUS_KURTA_PURPLE_L","115297523","ANRCKRTA115297523","L","RUS_KURTA_PURPLE","Anouk Rustic","Anouk Rustic Geometric Printed Band Collar Straight Kurta","Kurtas","C","8618540425",,"EK_E2E","MYEC1060952299","58640",,,"2025-08-16 12:11:58.000","2025-08-21 17:58:44.000","2025-08-22 04:12:12.000","2025-08-22 04:18:09.000","2025-08-25 11:39:00.000",,,,,"399.00","2499.00","2100.00","0.00","0.00","0.00","0.00","Puri","OR","752002","340"
"36387","58640","PPMP","'130839878803231448601","8638542565","10638467075","6f15b176-3223-4ca1-b821-c8443c35bd02","5576976558","2025-08-30 07:50:16.000","36084504","RUS_ICH_DOBBY_BEIGE_S","115296675","ANRCKRTA115296675","S","RUS_ICH_DOBBY_BEIGE","Anouk Rustic","Anouk Rustic Men Pure Cotton Woven Design Mandarin Collar Regular Kurta","Kurtas","C","8638542565",,"EK_E2E","MYEP1079902532","58640",,,"2025-08-30 11:39:57.000","2025-08-30 15:33:35.000","2025-08-31 05:37:49.000","2025-08-31 05:45:03.000","2025-09-03 15:43:40.000",,,,,"351.00","2199.00","1848.00","0.00","0.00","0.00","0.00","Coimbatore","TN","641114","292"
"36387","58640","PPMP","'130745266527109474501","8623221553","10623146553","1ab25d34-2699-47f3-99fc-3eaaf953edc3","5567544815","2025-08-19 09:01:33.000","36084504","RUS_ICH_DOBBY_BEIGE_M","115296676","ANRCKRTA115296676","M","RUS_ICH_DOBBY_BEIGE","Anouk Rustic","Anouk Rustic Men Pure Cotton Woven Design Mandarin Collar Regular Kurta","Kurtas","C","8623221553",,"EK_E2E","MYEC1061277198","58640",,,"2025-08-19 12:37:59.000","2025-08-21 17:59:39.000","2025-08-22 01:25:46.000","2025-08-22 01:31:33.000","2025-08-23 14:50:00.000",,,,"2025-08-23 23:44:00","351.00","2199.00","1848.00","0.00","0.00","0.00","0.00","Mumbai","MH","400068","292"
"36387","58640","PPMP","'130664272745044758703","8609534006","10609459711","e5cb53da-5060-40a0-a975-eb5ee2c89f6b","5559451660","2025-08-10 00:02:36.000","36084500","RUS_KURTA_NAVY_L","115296657","ANRCKRTA115296657","L","RUS_KURTA_NAVY","Anouk Rustic","Anouk Rustic Men Ethnic Motifs Printed Daily Straight Kurta","Kurtas","C","9752661294",,"EK_E2E","MYEP1077373078","58640",,,"2025-08-10 12:33:29.000","2025-08-11 16:51:35.000","2025-08-12 01:34:21.000","2025-08-12 01:40:21.000","2025-08-13 20:07:43.000",,,,,"399.00","2499.00","2100.00","0.00","0.00","0.00","0.00","Bhiwandi","MH","421302","340"
"36387","58640","PPMP","'130680446240904152303","8612656091","10612581699","99bbd0dc-422e-4747-a95a-5eabfcbe1c68","5561257200","2025-08-11 20:58:10.000","36084496","RUS_MAGIC_IKKAT_NAVY_L","115296637","ANRCKRTA115296637","L","RUS_MAGIC_IKKAT_NAVY","Anouk Rustic","Anouk Rustic Men Ethnic Motifs Printed Daily Straight Kurta","Kurtas","C","8612656091",,"EK_E2E","MYEP1077708192","58640",,,"2025-08-12 12:28:45.000","2025-08-12 17:16:00.000","2025-08-13 00:52:54.000","2025-08-13 00:59:18.000","2025-08-13 20:24:32.000",,,,,"399.00","2499.00","2100.00","0.00","0.00","0.00","0.00","Navi Mumbai","MH","410210","340"
"36387","58640","PPMP","'130705856285748261603","8616987192","10616912537","1f437df7-678f-4626-809d-9d98056f5999","5563865312","2025-08-14 19:33:11.000","36084938","RUS_KURTA_PURPLE_XXL","115297525","ANRCKRTA115297525","XXL","RUS_KURTA_PURPLE","Anouk Rustic","Anouk Rustic Geometric Printed Band Collar Straight Kurta","Kurtas","F","8616987192",,"EK_E2E","MYEP1078040338","58640","110","Vendor Failed to Handover (Ekart)","2025-08-15 11:17:39.000","2025-08-21 17:51:50.000",,,,"2025-08-21 19:09:41.000",,,,"399.00","2499.00","2100.00","40.00","0.00","0.00","0.00","Haldwani","UT","263139","340"
"36387","58640","PPMP","'130773800992315068801","8628797201","10628722039","762cf252-56cb-4d08-9a7a-bf958208b69e","5570913037","2025-08-22 16:17:19.000","36084487","RUS_SOL_KURTA_ORANGE_L","115296592","ANRCKRTA115296592","L","RUS_SOL_KURTA_ORANGE","Anouk Rustic","Anouk Rustic Band Collar Straight Kurta","Kurtas","C","9758309291",,"EK_E2E","MYEC1061750347","58640",,,"2025-08-23 13:52:17.000","2025-08-25 17:00:33.000","2025-08-29 14:20:30.000","2025-08-29 14:26:43.000","2025-09-01 13:12:30.000",,,,,"399.00","1999.00","1600.00","0.00","0.00","0.00","0.00","Hyderabad","TG","500019","340"
"36387","58640","PPMP","'130711750975510664601","8617830681","10617755993","1ccf19b2-1584-4177-9662-2bc1be965b20","5564358068","2025-08-15 11:55:38.000","36084490","RUS_KURTA_STR_YELLOW_M","115296606","ANRCKRTA115296606","M","RUS_KURTA_STR_YELLOW","Anouk Rustic","Anouk Rustic Men Striped Daily Straight Kurta","Kurtas","F","8617830681",,"EK_E2E","MYEP1078047498","58640","110","Vendor Failed to Handover (Ekart)","2025-08-15 12:37:30.000","2025-08-21 17:51:50.000",,,,"2025-08-21 19:10:07.000",,,,"399.00","1999.00","1600.00","0.00","0.00","0.00","0.00","Hyderabad","TG","500016","340"
"36387","58640","PPMP","'130785761785361353103","8630877913","10630802616","13007ba4-4637-4888-ae8a-b652287280d9","5572208543","2025-08-24 01:30:46.000","36084489","RUS_SK_Shatranj_Eygpt_Grey_L","115296602","ANRCKRTA115296602","L","RUS_SK_Shatranj_Eygpt_Grey","Anouk Rustic","Anouk Rustic Men Pure Cotton Mandarin Collar Thread Work Kurta","Kurtas","C","9758691195",,"EK_E2E","MYEC1061823384","58640",,,"2025-08-24 12:37:33.000","2025-08-25 17:00:30.000","2025-08-29 08:51:18.000","2025-08-29 08:58:59.000","2025-08-31 08:50:33.000",,,,,"319.00","1999.00","1680.00","0.00","0.00","0.00","0.00","Wardha","MH","442001","260"
"36387","58640","PPMP","'130731042830166734601","8621104869","10621030047","a0867c79-9a28-42b6-b0e8-f510de54dccf","5566275923","2025-08-17 17:30:56.000","36084481","RUS_KURTA_GREY_S","115296560","ANRCKRTA115296560","S","RUS_KURTA_GREY","Anouk Rustic","Anouk Rustic Geometric Printed Mandarin Collar Straight Kurta","Kurtas","F","8621104869",,"DE_4PL","5965264287264","58640","30","Product not required anymore","2025-08-18 12:00:17.000","2025-08-21 17:50:37.000","2025-08-22 03:25:17.000",,,"2025-08-22 03:25:45.000",,,,"399.00","2499.00","2100.00","0.00","0.00","0.00","0.00","Mumbai","MH","400012","340"
